endereco,datahora,latitude,longitude
"São Paulo - SP, 03332-060, Brasil",2014-06-16 17:32:21,"-23,551841","-46,577277"
"Avenida Salim Farah Maluf, 154-160 - Tatuapé, São Paulo - SP, Brasil",2014-06-16 17:33:16,"-23,542743","-46,580167"
"Avenida Washington Luís, 3701 - Santo Amaro, São Paulo - SP, Brasil",2014-06-24 16:44:59,"-23,646638","-46,674647"
"Avenida Washington Luís, 3501-3509 - Santo Amaro, São Paulo - SP, Brasil",2014-06-24 16:45:44,"-23,648284","-46,67595"
"Rua Mateo Forte, 22-210 - Água Branca, São Paulo - SP, 05038-160, República Federativa do Brasil",2014-06-30 09:37:43,"-23,512655","-46,697786"
"Rua Tabatinguera, 545 - Sé, São Paulo - São Paulo, 01020-001, República Federativa do Brasil",2014-08-05 20:47:29,"-23,552065","-46,6277"
"Avenida Marginal Tietê Central, 101 - Jardim das Graças, São Paulo - São Paulo, República Federativa do Brasil",2014-08-06 16:42:41,"-23,507791","-46,69217"
"Avenida Salim Farah Maluf, 5453-5479 - Vila Oratório, São Paulo - São Paulo, 03194-010, República Federativa do Brasil",2014-08-12 16:36:45,"-23,57734","-46,571235"
"Rua Boa Vista, 107 - Centro, São Paulo - SP, República Federativa do Brasil",2014-08-20 09:53:32,"-23,5467613","-46,633786"
"Avenida Rio Branco, 1492 - Campos Elíseos, São Paulo - SP, 01206-001, República Federativa do Brasil",2014-10-01 16:51:41,"-23,531412","-46,646091"
"Ponte da Casa Verde - Bom Retiro, São Paulo - SP, 01133-060, República Federativa do Brasil",2014-10-18 14:29:14,"-23,516705","-46,653803"
"Avenida Marginal Tietê Central - Vila Maria, São Paulo - SP, República Federativa do Brasil",2014-10-20 13:54:22,"-23,524754","-46,599284"
"Avenida Marginal Tietê Central - Vila Guilherme, São Paulo - SP, República Federativa do Brasil",2014-10-20 13:55:45,"-23,521649","-46,612303"
"Marginal Pinheiros - Pinheiros, São Paulo - SP, 05425-070, República Federativa do Brasil",2014-10-21 09:10:12,"-23,592021","-46,692103"
"Rua Boiaruca, 112 - Parque Cisper, São Paulo - SP, 03818-025, República Federativa do Brasil",2014-10-23 21:17:30,"-23,4945721","-46,49601434"
"Rua Conselheiro Furtado, 1261-1397 - Liberdade, São Paulo - SP, 01511-001, República Federativa do Brasil",2014-10-24 21:13:05,"-23,564359","-46,632417"
"Sumaré Faculdade, Sumaré Faculdade - Rua Gonçalves Crespo, 103-119 - Tatuapé, São Paulo - SP, 03066-030, República Federativa do Brasil",2014-11-10 14:50:34,"-23,538467","-46,575786"
"Avenida Alcântara Machado, 2202-2548 - Brás, São Paulo - SP, República Federativa do Brasil",2014-11-15 20:36:31,"-23,548114","-46,601436"
"Rodovia Fernão Dias, 224 - Jaçanã, São Paulo - SP, República Federativa do Brasil",2014-11-20 18:46:29,"-23,466505","-46,571852"
"Rua Francisco Bueno, 260-286 - Tatuapé, São Paulo - SP, 03077-020, Brasil",2014-11-29 14:55:09,"-23,532661","-46,582974"
"Avenida Mercúrio, 181-235 - Brás, São Paulo - SP, 01026-010, Brasil",2014-11-29 15:11:38,"-23,543005","-46,627093"
"Rua dos Bandeirantes, 352 - Bom Retiro, São Paulo - SP, 01124-010, Brasil",2014-12-19 15:43:58,"-23,527756","-46,634655"
"Avenida Ibirapuera, 3420 - Moema, São Paulo - SP, Brasil",2014-12-26 18:12:46,"-23,611826","-46,669999"
"Rua Brigadeiro Tobias, 148 - Centro, São Paulo - SP, Brasil",2015-01-02 16:52:44,"-23,541761","-46,635692"
"Travessa José Iervolino - Parque São Jorge, São Paulo - SP, 03086-020, Brasil",2015-01-12 18:59:58,"-23,530215","-46,564651"
"Rua Serra de Bragança, 902-990 - Vila Gomes Cardim, São Paulo - SP, Brasil",2015-01-17 00:59:11,"-23,544618","-46,566509"
"Rua Tijuco Preto, 867-923 - Tatuapé, São Paulo - SP, Brasil",2015-01-17 00:59:41,"-23,543051","-46,56703"
"Avenida Alcântara Machado, 71 - Brás, São Paulo - SP, 03101-005, Brasil",2015-01-22 12:54:43,"-23,551808","-46,609368"
"Avenida Morvan Dias de Figueiredo, 9097-9185 - Vila Guilherme, São Paulo - SP, Brasil",2015-01-30 12:30:41,"-23,528145","-46,587326"
"Avenida Presidente Castelo Branco, 1632 - Ponte Pequena, São Paulo - SP, Brasil",2015-02-12 14:17:43,"-23,51594","-46,670474"
"Avenida Marginal Tietê Central - Vila Guilherme, São Paulo - SP, Brasil",2015-02-13 12:05:38,"-23,518486","-46,621569"
"Marginal Tietê Pista Central, 309 - São Domingos, São Paulo - SP, Brasil",2015-02-13 12:21:10,"-23,507524","-46,71545"
"Praça Antônio Frate, 311 - Parque Sevilha, São Paulo - SP, Brasil",2015-05-20 14:43:26,"-23,532686","-46,583066"
"Rua Angelina Approbato Machado, 42 - Jardim Miriam, São Paulo - SP, 04416-320, Brasil",2015-06-11 18:00:49,"-23,6778261","-46,6366913"
"Avenida Santos Dumont, 1318 - Santana, São Paulo - SP, Brasil",2015-09-01 11:08:37,"-23,516646","-46,629799"
